Target;Subject;Number;Gender;Animacy;Verb;Verb_of_speech;Ger;Verb_time;Object;Protiv1;Protiv2
чуть было;два самолёта;Pl;None;0;столкнуться;0;0;Past;0;0;0
чуть было;который (сюрприз);Sg;M;0;погубить;0;0;Past;1;0;0
чуть было;предприниматель;Sg;M;1;отравить;0;0;Past;1;0;0
чуть было;державы;Pl;None;0;ввязаться;0;0;Past;2;0;0
чуть было;кто;Sg;M;1;сделать;0;0;Past;1;0;0
чуть было;0;Sg;M;1;плюхнуться;0;0;Past;2;1;0
чуть было;война;Sg;F;0;вырваться;0;0;Past;0;0;1
чуть было;0;Sg;M;2;сказать;1;0;Past;0;0;0
чуть было;Саша;Sg;M;1;спросить;1;0;Past;1;0;0
чуть было;который (сюжет);Sg;M;0;привести;0;0;Past;2;0;0
чуть было;"""Комсомолка""";Sg;F;0;разродиться;0;0;Past;2;1;0
чуть было;эти птицы;Pl;None;1;стать;0;0;Past;2;0;1
чуть было;0;Sg;M;1;вымолвить;1;0;Past;1;0;0
чуть было;вы;Pl;None;1;пришибить;0;0;Past;1;1;1
чуть было;глаз;Sg;M;0;остаться;0;0;Past;2;0;1
чуть было;Аркалий Семёнович;Sg;M;1;потерять равновесие;0;0;Past;2;0;0
чуть было;сам;Sg;M;1;полететь;0;0;Past;2;0;0
чуть было;Артём;Sg;M;1;повалиться;0;0;Past;2;0;0
чуть было;прусский король Фридрих II;Sg;M;1;поставить;0;1;Past;1;0;0
чуть было;0;Sg;M;1;написать;0;0;Past;1;0;0
чуть было;Мария;Sg;F;1;спросить;1;0;Past;1;1;0
чуть было;я;Sg;F;1;реализовать;0;0;Past;1;0;0
чуть было;мэр Юрий Лужков;Sg;M;1;взять;0;0;Past;2;0;0
чуть было;поражение;Sg;N;0;расстроить;0;0;Past;1;0;1
чуть было;Останкинская башня;Sg;F;0;сгореть;0;1;Past;0;0;0
чуть было;0;Pl;None;1;забраковать;0;0;Past;1;0;0
чуть было;я;Sg;M;1;сказать;1;0;Past;1;0;0
чуть было;охрана;Sg;F;1;замести;0;0;Past;1;0;0
чуть было;вера;Sg;F;0;потерять;0;1;Past;0;0;0
чуть было;Владимир Александрович;Sg;M;1;описаться;0;0;Past;0;0;0
чуть было;я;Sg;F;1;спросить;1;0;Past;1;1;0
чуть было;я;Sg;F;1;воскликнуть;1;0;Past;1;0;0
чуть было;он;Sg;M;1;спросить;1;0;Past;1;0;0
чуть было;я;Sg;M;1;стать;0;0;Past;2;0;1
чуть было;одна из почек;Sg;F;0;отказать;1;0;Past;0;0;0
чуть было;компания ЗМ;Sg;F;0;лишиться;0;0;Past;2;0;0
чуть было;он;Sg;M;1;уморить;0;0;Past;1;0;0
чуть было;Инка;Sg;F;1;смахнуть;0;0;Past;1;0;0
чуть было;0;Pl;None;1;счесть;0;0;Past;2;0;0
чуть было;команда имени Петросяна;Sg;F;1;свести;0;0;Past;1;0;1
чуть было;нижнетагильцы;Pl;None;1;выйти;0;0;Past;2;0;1
чуть было;Вера;Sg;F;1;погибнуть;0;0;Past;2;1;0
чуть было;слова;Pl;None;0;слететь;0;0;Past;0;0;0
