Left context;Center;Punct;Subject;Number;Gender;Animacy;Verb;Verb_of_speech;Ger;Verb_time;Object;Protiv1;Protiv2;Right context;Full context;;;;;;;;Birthday;Created;Sphere;Type;Topic;Publ_year
   Во время войны город ; чуть ;  ;0;Pl;Pl;?;переименовать;0;0;Past;2;но;0;было не переименовали в Кобу ;  Во время войны город чуть было не переименовали в Кобу (дабы увековечить подпольную кличку Сталина), но вовремя остановились.  [Екатерина Карсанова, Дмитрий Бавильский. Дмитрий Бавильский из Челябинска // «Русский репортер», 2013] [омонимия не снята];;;;;;;;1969 ;2013 ;публицистика, нехудожественная ;статья ;частная жизнь ;2013 
 единственного автора ролевых игр, которого ; чуть ;  ;0;Pl;Pl;?;заменить;0;0;Past;2;0;0;было не заменили Колосенцевым?  ; Короче: знаете, как зовут этого единственного автора ролевых игр, которого чуть было не заменили Колосенцевым?  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята];;;;;;;;1957 ;2013 ;художественная ;роман ; ;2013 
   Нас однажды ; чуть ;  ;0;Pl;Pl;?;прирезать;0;0;Past;1;0;0;было не прирезали, когда мы ;  Нас однажды чуть было не прирезали, когда мы вечером по осени возвращались из ГУМа через Александровский сад.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята];;;;;;;;1963 ;2013 ;художественная ;роман ; ;2014 
 Потом малость пообвык, а сначала ; чуть ;  ;1;Sg;M;1;вольтануться;0;0;Past;0;0;а;было не вольтанулся.  ; Потом малость пообвык, а сначала чуть было не вольтанулся.  [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята];;;;;;;;1963 ;2013 ;художественная ;роман ; ;2014 
 школьном туалете, после чего школу ; чуть ;  ;0;Pl;Pl;?;взять;0;0;Past;1;0;0;было не взяли приступом.  ; Из штата Гоа пришло сообщение об изнасиловании семилетней девочки прямо в школьном туалете, после чего школу чуть было не взяли приступом.  [Евгений Пахомов. Насильники из трущоб // «Огонек», 2013] [омонимия не снята];;;;;;;; ;2013 ;публицистика, нехудожественная ;статья ;политика и общественная жизнь ;2013 
   Я ; чуть ;  ;я;Sg;M;1;сказать;1;0;Past;1;1;0;было не сказал «нас» ? но ;  Я чуть было не сказал «нас» ? но вовремя вспомнил, что у меня нет для этого оснований.  [Виктор Пелевин. Бэтман Аполло (2013)] [омонимия не снята];;;;;;;;1962 ;2013 ;художественная ;роман ; ;2013 
   Но и тут все ; чуть ;  ;всё;Sg;N;0;закончиться;0;0;Past;2;0;1;было не закончилось конфузом.  ;  Но и тут все чуть было не закончилось конфузом.  [Борис Поздняков. Ананасы // «Сибирские огни», 2013] [омонимия не снята];;;;;;;;1945 ;2013 ;художественная ;рассказ ; ;2013 
 поколение дремучесть своих предков, которые ; чуть ;  ;которые (предки);Pl;Pl;1;лишить жизни;0;0;Past;1;0;0;было не лишили жизни маленького ; Со смехом вспоминало новое поколение дремучесть своих предков, которые чуть было не лишили жизни маленького Аркашу, посчитав его кисть бесовской.  [Валерий Роньшин. Аркадий Петрович Чесноков-Богданов // «Сибирские огни», 2013] [омонимия не снята];;;;;;;;1958 ;2013 ;публицистика, нехудожественная ;очерк ;искусство и культура, частная жизнь ;2013 
   Москва ; чуть ;  ;Москва;Sg;F;0;отказаться;0;0;Past;2;0;0;было не отказалась от публичных ;  Москва чуть было не отказалась от публичных слушаний ? главного инструмента борьбы с точечной застройкой.  [Ольга Филина. Москва себя еле слышит // «Огонек», 2013] [омонимия не снята];;;;;;;; ;2013 ;публицистика, нехудожественная ;статья ;строительство и архитектура ;2013 
 Но от вышеназванных сцен я ; чуть ;  ;я;Sg;M;1;умереть;0;0;Past;0;0;1;было не умер на месте ; [IchiKiller19, муж]   Но от вышеназванных сцен я чуть было не умер на месте – отдаю должное :)  [коллективный. Форум: Переоцененное кино или фильмы, которые тебе нравятся, а мне – нет (2013)] [омонимия не снята];;;;;;;; ;2013 ;электронная коммуникация, нехудожественная ;блог, форум ;досуг, зрелища и развлечения ; 
